8e-05	8.447265625e-06	2810.08926422
9.6e-05	1.05224609375e-05	2444.1519335
0.0001152	1.38671875e-05	2128.9141623
0.00013824	1.6650390625e-05	1838.5578642
0.000165888	1.923828125e-05	1583.59071652
0.0001990656	2.1875e-05	1369.07150839
0.00023887872	2.4609375e-05	1189.13846929
0.000286654464	3.046875e-05	1036.7868975
0.0003439853568	3.330078125e-05	893.62887254
0.00041278242816	3.525390625e-05	769.763013282
0.000495338913792	3.662109375e-05	665.644773355
0.00059440669655	3.90625e-05	578.98634785
0.00071328803586	4.39453125e-05	506.689360676
0.000855945643033	4.78515625e-05	435.473898239
0.00102713477164	5e-05	374.957011947
0.00123256172597	5.234375e-05	324.510138215
0.00147907407116	5.5078125e-05	282.4559072
0.00177488888539	5.9375e-05	247.385137766
0.00212986666247	6.640625e-05	218.127316555
0.00255583999496	7.65625e-05	192.117351704
0.00306700799396	7.65625e-05	166.591468613
0.00368040959275	7.65625e-05	145.327368452
0.0044164915113	7.8125e-05	127.609922624
0.00529978981356	0.0001625	112.847439167
0.00635974777627	0.00045	100.384808678
0.00763169733153	0.0008	87.5370173671
0.00915803679783	0.0012	76.6852090505
0.0109896441574	0.00195	67.5185947979
0.0131875729889	0.00335	59.6843622576
0.0158250875867	0.00595	52.8166447801
0.018990105104	0.0084	46.2862460155
0.0227881261248	0.00965	40.514124186
0.0273457513497	0.01215	35.6419276115
0.0328149016197	0.015	31.5229260326
0.0393778819436	0.0204	27.9645962396
0.0472534583323	0.02825	24.8419950601
0.0567041499988	0.04155	22.0116312591
0.0680449799986	0.06045	19.3743979039
0.0816539759983	0.067	17.1668534518
0.0979847711979	0.0811	15.2274934457
0.117581725438	0.09995	13.5820131483
0.141098070525	0.1304	12.1185883777
0.16931768463	0.1666	10.8204408295
0.203181221556	0.22205	9.63171965507
0.243817465867	0.23675	8.61990653277
0.292580959041	0.27725	7.7441337549
0.351097150849	0.33375	6.9752538214
0.421316581019	0.40075	6.3138868524
0.505579897222	0.49695	5.72787741384
0.606695876667	0.61625	5.20109271163
0.728035052	0.71355	4.68928732239
0.8736420624	0.76885	4.21460996295
1.04837047488	0.86025	3.82037185325
1.25804456986	0.99015	3.48358960468
1.50965348383	1.14475	3.19156158372
1.81158418059	1.31405	2.93899461365
